weapon_sword	0	0	0	224	128	32	32
39	0	0	0	192	128	32	32
38	0	0	0	160	128	32	32
37	0	0	0	128	128	32	32
36	0	0	0	96	128	32	32
35	0	0	0	64	128	32	32
34	0	0	0	32	128	32	32
33	0	0	0	0	128	32	32
32	0	0	0	224	96	32	32
31	0	0	0	192	96	32	32
30	0	0	0	160	96	32	32
29	0	0	0	128	96	32	32
28	0	0	0	96	96	32	32
27	0	0	0	64	96	32	32
26	0	0	0	32	96	32	32
25	0	0	0	0	96	32	32
24	0	0	0	224	64	32	32
23	0	0	0	192	64	32	32
22	0	0	0	160	64	32	32
21	0	0	0	128	64	32	32
20	0	0	0	96	64	32	32
19	0	0	0	64	64	32	32
18	0	0	0	32	64	32	32
17	0	0	0	0	64	32	32
16	0	0	0	224	32	32	32
15	0	0	0	192	32	32	32
14	0	0	0	160	32	32	32
13	0	0	0	128	32	32	32
12	0	0	0	96	32	32	32
11	0	0	0	64	32	32	32
10	0	0	0	32	32	32	32
9	0	0	0	0	32	32	32
8	0	0	0	224	0	32	32
7	0	0	0	192	0	32	32
6	0	0	0	160	0	32	32
5	0	0	0	128	0	32	32
4	0	0	0	96	0	32	32
3	0	0	0	64	0	32	32
2	0	0	0	32	0	32	32
1	0	0	0	0	0	32	32
