f5b	0	0	0	128	48	16	16
new	0	240	block.mps	64	80	32	32
ent	0	0	dungeon_entrance.mps	256	128	64	48
b5	0	0	0	16	96	32	16
b6	0	0	0	48	96	16	16
b4	0	0	0	0	96	16	16
b3	0	0	0	48	80	16	16
b2	0	0	0	16	80	32	16
b1	0	0	0	0	80	16	16
crack	0	0	crack.mps	130	180	64	48
d1-locked	0	0	door.mps	192	224	64	48
d1-closed	0	0	0	128	224	64	48
d1	0	0	door.mps	64	224	64	48
w1	0	255	0	0	0	48	48
w2	0	255	0	48	0	32	48
w3	0	255	0	80	0	48	48
w4	0	255	0	128	0	32	48
w5	0	255	0	160	0	48	48
w6	0	255	0	208	0	48	48
f1	0	0	0	0	48	32	32
f2	0	0	0	32	48	32	32
f3	0	1	0	64	48	32	32
f4	0	0	0	96	48	32	32
f5	0	0	0	128	48	32	32
w7	0	0	0	160	48	16	64
w8	0	0	0	176	48	16	48
w9	0	0	0	192	48	32	32
wa	0	0	0	224	48	32	32
wb	0	0	0	128	80	32	32
t1_0	2	0	0	0	176	64	32
t1_1	2	0	0	0	208	64	32
t1_2	2	0	0	0	240	64	32
d1-arch	0	0	0	64	224	64	16
switch	0	0	switch.mps	96	80	32	32
ent-floor	0	0	0	64	112	160	64
ent-arch	0	0	0	256	160	64	16
ent-floor2	0	0	0	256	112	64	16
a2	0	255	0	256	0	64	48
a1	0	255	0	416	0	32	64
a3	0	255	0	384	0	32	64
a4	0	255	0	384	64	48	64
t1	0	0	0	ANIMATION	600	t1_0	t1_1	t1_2
