npc1a	0	0	_npc1a	192	56	32	48
npc1aa	0	0		0	48	32	32
npc1ab	0	0		32	48	32	32
npc1ac	0	0		64	32	32	32
npc1ad	0	0		96	32	32	32
npc1ae1	0	0		128	32	32	32
npc1ae2	0	0		160	32	32	32
npc1af1	0	0		0	80	32	32
npc1af2	0	0		32	80	32	32
npc1ag1	0	0		64	64	32	32
npc1ag2	0	0		96	64	32	32
npc1ah1	0	0		128	64	32	32
npc1ah2	0	0		160	64	32	32
npc1b	0	0	_npc1b	192	104	32	48
npc1ba	0	0		0	112	32	32
npc1bb	0	0		32	112	32	32
npc1bc	0	0		64	96	32	32
npc1bd	0	0		96	96	32	32
npc1be1	0	0		128	96	32	32
npc1be2	0	0		160	96	32	32
npc1bf1	0	0		0	144	32	32
npc1bf2	0	0		32	144	32	32
npc1bg1	0	0		64	128	32	32
npc1bg2	0	0		96	128	32	32
npc1bh1	0	0		128	128	32	32
npc1bh2	0	0		160	128	32	32
npc1c	0	0	_npc1c	192	152	32	48
npc1ca	0	0		0	176	32	32
npc1cb	0	0		32	176	32	32
npc1cc	0	0		64	160	32	32
npc1cd	0	0		96	160	32	32
npc1ce1	0	0		128	160	32	32
npc1ce2	0	0		160	160	32	32
npc1cf1	0	0		0	208	32	32
npc1cf2	0	0		32	208	32	32
npc1cg1	0	0		64	192	32	32
npc1cg2	0	0		96	192	32	32
npc1ch1	0	0		128	192	32	32
npc1ch2	0	0		160	192	32	32
npc1d	0	0	_npc1d	192	200	32	48
npc1da	0	0		0	240	32	32
npc1db	0	0		32	240	32	32
npc1dc	0	0		64	224	32	32
npc1dd	0	0		96	224	32	32
npc1de1	0	0		128	224	32	32
npc1de2	0	0		160	224	32	32
npc1df1	0	0		0	272	32	32
npc1df2	0	0		32	272	32	32
npc1dg1	0	0		64	256	32	32
npc1dg2	0	0		96	256	32	32
npc1dh1	0	0		128	256	32	32
npc1dh2	0	0		160	256	32	32
npc1e	0	0	_npc1e	192	248	32	48
npc1ea	0	0		96	288	32	32
npc1eb	0	0		128	288	32	32
npc1ec	0	0		160	288	32	32
npc1ed	0	0		0	304	32	32
npc1ee1	0	0		32	304	32	32
npc1ee2	0	0		64	320	32	32
npc1ef1	0	0		128	320	32	32
npc1ef2	0	0		160	320	32	32
npc1eg1	0	0		0	336	32	32
npc1eg2	0	0		32	336	32	32
npc1eh1	0	0		96	352	32	32
npc1eh2	0	0		128	352	32	32
npc1f	0	0	_npc1f	192	296	32	48
npc1fa	0	0		0	368	32	32
npc1fb	0	0		32	368	32	32
npc1fc	0	0		64	384	32	32
npc1fd	0	0		96	384	32	32
npc1fe1	0	0		160	352	32	32
npc1fe2	0	0		128	384	32	32
npc1ff1	0	0		160	384	32	32
npc1ff2	0	0		0	400	32	32
npc1fg1	0	0		32	400	32	32
npc1fg2	0	0		64	416	32	32
npc1fh1	0	0		96	416	32	32
npc1fh2	0	0		128	416	32	32
npc2a	0	0	_npc2a	192	0	32	56
npc2aa1	0	0		64	0	32	32
npc2ab	0	0		160	0	32	32
npc2ac	0	0		128	0	32	32
npc2ad	0	0		96	0	32	32
npc2b	0	0	_npc2b	0	0	32	48
npc2b1	0	0		32	0	32	48
npc2c	0	0	_npc2c	0	432	32	48
npc2c1	0	0		32	432	32	48
npc2d	0	0	_npc2d	192	344	32	48
npc2da1	0	0		64	448	32	32
npc2da2	0	0		96	448	32	32
npc2db	0	0		160	416	32	32
npc2e	0	0	_npc2e	192	392	32	56
npc2ea1	0	0		128	448	32	32
npc2eb	0	0		32	480	32	32
npc2ec	0	0		160	448	32	32
npc2ed	0	0		0	480	32	32
npc2f	0	0	_npc2f	192	448	32	48
npc2fa1	0	0		64	480	32	32
npc2fb	0	0		160	480	32	32
npc2fc	0	0		96	480	32	32
npc2fd	0	0		128	480	32	32
npc2g	0	0	_npc2g	192	496	32	56
npc2ga1	0	0		0	512	32	32
npc2gb	0	0		96	512	32	32
npc2gc	0	0		32	512	32	32
npc2gd	0	0		64	512	32	32
npc2h	0	0	_npc2h	192	552	32	48
npc2ha1	0	0		128	512	32	32
npc2hb	0	0		32	544	32	32
npc2hc	0	0		160	512	32	32
npc2hd	0	0		0	544	32	32
