box01	0	0		0	0	32	32
box02	0	0		32	0	32	32
box03	0	0		32	32	32	32
box04	0	0		0	32	32	32
box05	0	0		64	0	32	32
box06	0	0		96	0	32	32
box07	0	0		128	0	32	32
box08	0	0		160	0	32	32
arow1	0	0		64	32	32	16
arow2	0	0		96	32	16	32
rup01	0	0		112	32	32	32
life1	0	0		0	64	176	32
heart1	0	0		0	96	32	32
heart2	0	0		32	96	32	32
heart3	0	0		64	96	32	32
shadow2	0	0		144	32	48	32
shadow3	0	0		80	48	16	16
hole001	0	0		96	96	32	32
hole002	0	0		128	96	32	32
black1	0	0		160	96	32	32
box09	0	0		192	0	32	32
save01	0	0		224	0	32	32
save02	0	0		192	32	32	32
save03	0	0		224	32	16	16
save04	0	0		240	32	16	16
save05	0	0		240	48	16	16
save06	0	0		224	48	16	16
save07	0	0		176	64	16	16
save08	0	0		192	64	16	16
save09	0	0		192	80	16	16
save10	0	0		176	80	16	16
save11	0	0		208	64	16	16
save12	0	0		0	128	32	48
save13	0	0		32	128	32	48
save14	0	0		0	176	256	8
efall1	0	0		160	184	32	32
efall2	0	0		192	184	32	32
efall3	0	0		120	216	16	16
efall4	0	0		136	216	16	16
efall5	0	0		152	216	16	16
efall6	0	0		168	216	16	16
edead1	0	0		96	216	24	16
edead2	0	0		96	184	32	32
edead3	0	0		128	184	32	32
edead4	0	0		48	184	48	48
edead5	0	0		0	184	48	48
explosion1	0	0		64	128	32	32
explosion2	0	0		96	128	32	32
explosion3	0	0		128	128	32	32
explosion4	0	0		160	128	32	32
explosion5	0	0		192	96	32	32
explosion6	0	0		224	96	32	32
explosion7	0	0		192	128	32	32
explosion8	0	0		224	128	32	32
explosion9	0	0		224	64	32	32
explosion10	0	0		64	160	16	16
explosion11	0	0		80	160	16	16
explosion12	0	0		96	160	16	16
explosion13	0	0		112	160	16	16
explosion14	0	0		128	160	16	16
explosion15	0	0		144	160	16	16
explosion16	0	0		224	184	32	32
menu1	0	0		0	232	16	16
menu2	0	0		16	232	16	16
menu3	0	0		0	248	16	16
menu4	0	0		16	248	16	16
menu5	0	0		32	232	16	16
menu6	0	0		32	248	16	16
menu7	0	0		48	232	16	16
menu8	0	0		48	248	16	16
menu9	0	0		192	216	64	64
menu10	0	0		64	232	16	16
menu11	0	0		80	232	16	16
menu12	0	0		64	248	16	16
menu13	0	0		80	248	16	16
menu14	0	0		96	232	16	16
menu15	0	0		96	248	16	16
menu16	0	0		112	232	16	16
menu17	0	0		112	248	16	16
bombhud	0	0		128	232	32	32
itemhud	0	0		0	264	48	48
menuB	0	0		160	160	16	16
menuA	0	0		176	160	16	16
magichud1	0	0		48	264	32	16
magichud2	0	0		48	280	32	16
magichud3	0	0		48	296	32	16
arrowhud	0	0		80	264	56	32
gameover	0	0		0	312	128	32
explosions1	0	0		208	80	16	16
explosions2	0	0		128	312	32	32
explosions3	0	0		160	312	32	32
explosions4	0	0		160	280	32	32
fireburn1	0	0		192	280	32	32
fireburn2	0	0		224	280	32	32
fireburn3	0	0		192	312	32	32
fireburn4	0	0		224	160	32	16
fireburn5	0	0		224	312	32	32
fireburn6	0	0		160	232	32	32
explosions1a	0	0		80	296	16	16
black2	0	0		176	112	16	16
magichud4	0	0		136	264	32	16
menu18	0	0		88	344	16	16
menu20	0	0		88	360	16	16
menu19	0	0		104	344	16	16
menu21	0	0		104	360	16	16
keyhud	0	0		0	344	32	32
menuequip	0	0		136	344	120	16
menudunitem	0	0		136	360	120	16
menu24	0	0		136	280	16	16
menu25	0	0		136	296	16	16
menu22	0	0		120	344	16	16
menu23	0	0		120	360	16	16
sarrowhud	0	0		32	344	56	32
menuB2	0	0		96	296	16	16
menuA2	0	0		112	296	16	16
